Country,Population,Region,"Estimated prevalence of modern slavery per 1,000 population",Estimated number of people in modern slavery,Governance issues,Effects of conflict,Total Vulnerability score (%),"Risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",Government response total (%),Survivors of slavery are identified and supported to exit and remain out of modern slavery (%)
Bosnia and Herzegovina,3281000,Europe and Central Asia,10.08794212341309,33000,38.17500910508294,26.11815184470261,36.17146455125945,57.14285659790039,57.69230651855469,68.18181610107422
Botswana,2352000,Africa,1.842855215072632,4000,47.18469310309364,5.325365343759019,44.94726294166183,50,42.30769348144531,31.81818199157715
Brazil,212559000,Americas,4.954716682434082,1053000,49.73097794975531,30.82213200640471,46.8682578663542,57.14285659790039,51.28205108642578,45.45454406738281
Brunei Darussalam,437000,Asia and the Pacific,,,,,,57.14285659790039,34.61538314819336,27.27272796630859
Bulgaria,6948000,Europe and Central Asia,8.48421573638916,59000,24.23330468691563,13.67951865802781,25.8851176750635,57.14285659790039,55.12820434570313,50
Burkina Faso,20903000,Africa,3.701391696929932,77000,47.40394856117966,60.04078297168059,55.57506286686467,28.5714282989502,35.89743423461914,45.45454406738281
Burundi,11891000,Africa,7.5060715675354,89000,76.55167017977944,45.62907182946302,76.69894916041535,14.2857141494751,29.48717880249023,22.72727203369141
Cambodia,16719000,Asia and the Pacific,4.982629299163818,83000,60.1715031419185,22.43470351234706,57.6433208103472,42.85714340209961,42.30769348144531,40.90909194946289
Cameroon,26546000,Africa,5.846192359924316,155000,58.03814985056079,74.97575315378943,70.47543238772427,35.71428680419922,41.02564239501953,54.54545593261719
Canada,37742000,Americas,1.82606041431427,69000,12.69019335783894,27.01388089606717,10.71290950739265,78.57142639160156,60.25640869140625,59.09090805053711
Cape Verde,0,Africa,,,,,,42.85714340209961,30.76922988891602,22.72727203369141
Central African Republic,4830000,Africa,5.247385025024414,25000,76.35534704383751,83.40764332181236,97.66674312431343,21.4285717010498,26.92307662963867,22.72727203369141
Chad,16426000,Africa,5.881432056427002,97000,85.79317077826245,56.74572315426544,83.53713091668155,35.71428680419922,24.35897445678711,13.6363639831543
Chile,19116000,Americas,3.173375844955444,61000,19.60399039723627,27.77045533919059,22.08558806059161,64.28571319580078,55.12820434570313,54.54545593261719
China,1439324000,Asia and the Pacific,4.009806632995605,5771000,50.7144874413175,33.90280521358012,45.54358168885896,35.71428680419922,39.74359130859375,40.90909194946289
Colombia,50883000,Americas,7.808035373687744,397000,44.03487775641067,57.83152150988189,51.39640023080491,57.14285659790039,46.15384674072266,45.45454406738281
Costa Rica,5094000,Americas,3.193997383117676,16000,29.32061594143851,14.06856174390367,23.81494490419098,50,51.28205108642578,50
Côte d'Ivoire,26378000,Africa,7.312020301818848,193000,61.23679139089283,39.08643405446128,58.62020435305695,42.85714340209961,37.17948532104492,18.18181800842285
Croatia,4105000,Europe and Central Asia,5.243167400360107,22000,31.13690318169392,15.23260202250707,29.538748428724,64.28571319580078,58.97435760498047,59.09090805053711
Cuba,11327000,Americas,5.406132221221924,61000,55.51535965229694,20.39742332974894,42.7427347153312,28.5714282989502,30.76922988891602,27.27272796630859
Cyprus,1207000,Europe and Central Asia,8.044442176818848,10000,17.47622891826022,26.15855671847907,21.32731000402713,57.14285659790039,57.69230651855469,63.6363639831543
Czechia,10709000,Europe and Central Asia,4.240109443664551,45000,13.59838275332678,14.74065357893896,12.54070674503732,57.14285659790039,58.97435760498047,59.09090805053711
Democratic Republic of the Congo,89561000,Africa,4.547229290008545,407000,83.63261798601697,91.63271295497275,93.9707444032815,35.71428680419922,35.89743423461914,31.81818199157715
Denmark,5792000,Europe and Central Asia,0.6420400738716125,4000,11.82608222565484,23.68943462368133,5.730842414973912,64.28571319580078,61.53845977783203,63.6363639831543
Djibouti,988000,Africa,7.135610103607178,7000,61.91677157905247,10.43026082146022,57.22944943385414,28.5714282989502,35.89743423461914,40.90909194946289
Dominican Republic,10848000,Americas,6.632640838623047,72000,38.68501088150135,12.59953439761466,40.7564368960251,57.14285659790039,46.15384674072266,31.81818199157715
Ecuador,17643000,Americas,7.63454008102417,135000,49.3226721683995,25.63853055413283,48.22622081398305,57.14285659790039,51.28205108642578,50
Egypt,102334000,Africa,4.315521240234375,442000,56.12702557180575,52.60773777644039,58.9061160218451,57.14285659790039,43.58974456787109,54.54545593261719
El Salvador,6486000,Americas,8.082976341247559,52000,54.29084408273552,21.25670817484967,52.47724165430058,42.85714340209961,44.87179565429688,45.45454406738281
Equatorial Guinea,1403000,Africa,7.812037944793701,11000,72.81091546404264,7.168546590358336,68.87411981435966,14.2857141494751,21.79487228393555,27.27272796630859
